2017-12-17 12:38:56,737 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2017-12-17 12:38:56,737 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-12-17 12:38:56,737 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-12-17 12:38:56,737 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2017-12-17 12:38:56,737 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-12-17 12:38:56,737 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-12-17 12:38:56,737 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2017-12-17 12:38:56,737 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2017-12-17 12:38:56,737 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2017-12-17 12:38:56,737 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2017-12-17 12:38:56,738 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2017-12-17 12:38:56,738 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2017-12-17 12:38:56,738 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2017-12-17 12:38:56,738 [main] INFO  marytts.main Startup complete.
2017-12-17 12:38:56,821 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2017-12-17 12:38:56,822 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:38:56,822 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-12-17 12:38:56,822 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-12-17 12:38:56,823 [main] INFO  marytts.R 1 Next module: JTokeniser
2017-12-17 12:38:56,825 [main] INFO  marytts.R 1 Next module: Preprocess
2017-12-17 12:38:56,826 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2017-12-17 12:38:56,828 [main] INFO  marytts.R 1 Next module: JPhonemiser
2017-12-17 12:38:56,829 [main] INFO  marytts.R 1 Next module: Prosody
2017-12-17 12:38:56,832 [main] INFO  marytts.R 1 Next module: PronunciationModel
2017-12-17 12:38:56,833 [main] INFO  marytts.R 1 Next module: AcousticModeller
2017-12-17 12:38:56,845 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2017-12-17 12:38:56,845 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:56,846 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2017-12-17 12:38:56,848 [main] INFO  marytts.R 1 Next module: Synthesis
2017-12-17 12:38:56,850 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2017-12-17 12:38:56,850 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2017-12-17 12:38:56,851 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=11  Total number of states numState=55
2017-12-17 12:38:56,851 [main] INFO  marytts.HTSEngine Total number of frames=305  Number of voiced frames=206
2017-12-17 12:38:56,852 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2017-12-17 12:38:56,852 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:56,857 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=24
2017-12-17 12:38:56,864 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=99
2017-12-17 12:38:56,867 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=30
2017-12-17 12:38:56,868 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=2
2017-12-17 12:38:56,869 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=22
2017-12-17 12:38:56,871 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=25
2017-12-17 12:38:56,872 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=18
2017-12-17 12:38:56,873 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=2
2017-12-17 12:38:56,874 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=12
2017-12-17 12:38:56,875 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=15
2017-12-17 12:38:56,876 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=12
2017-12-17 12:38:56,878 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=37
2017-12-17 12:38:56,879 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2017-12-17 12:38:56,879 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=9
2017-12-17 12:38:56,880 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=14
2017-12-17 12:38:56,880 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2017-12-17 12:38:56,881 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=9
2017-12-17 12:38:56,881 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=9
2017-12-17 12:38:56,882 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=17
2017-12-17 12:38:56,882 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=11
2017-12-17 12:38:56,883 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=9
2017-12-17 12:38:56,885 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=50
2017-12-17 12:38:56,885 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=3
2017-12-17 12:38:56,886 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=15
2017-12-17 12:38:56,886 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=3
2017-12-17 12:38:56,886 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2017-12-17 12:38:56,888 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:56,890 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=27
2017-12-17 12:38:56,891 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2017-12-17 12:38:56,892 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=15
2017-12-17 12:38:56,895 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=58
2017-12-17 12:38:56,897 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=43
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1 Request processed in 146 ms.
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    TextToMaryXML took 0 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    JTokeniser took 2 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    Preprocess took 1 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    OpenNLPPosTagger took 2 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    JPhonemiser took 1 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    Prosody took 3 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    PronunciationModel took 1 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    AcousticModeller took 15 ms
2017-12-17 12:38:56,968 [main] INFO  marytts.R 1    Synthesis took 120 ms
2017-12-17 12:38:58,825 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2017-12-17 12:38:58,825 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:38:58,825 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-12-17 12:38:58,825 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 Next module: JTokeniser
2017-12-17 12:38:58,826 [main] INFO  marytts.R 1 Next module: Preprocess
2017-12-17 12:38:58,827 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2017-12-17 12:38:58,827 [main] INFO  marytts.R 1 Next module: JPhonemiser
2017-12-17 12:38:58,827 [main] INFO  marytts.R 1 Next module: Prosody
2017-12-17 12:38:58,828 [main] INFO  marytts.R 1 Next module: PronunciationModel
2017-12-17 12:38:58,828 [main] INFO  marytts.R 1 Next module: AcousticModeller
2017-12-17 12:38:58,830 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2017-12-17 12:38:58,830 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:58,830 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2017-12-17 12:38:58,830 [main] INFO  marytts.R 1 Next module: Synthesis
2017-12-17 12:38:58,830 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2017-12-17 12:38:58,831 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2017-12-17 12:38:58,831 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=6  Total number of states numState=30
2017-12-17 12:38:58,831 [main] INFO  marytts.HTSEngine Total number of frames=221  Number of voiced frames=115
2017-12-17 12:38:58,832 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2017-12-17 12:38:58,832 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:58,832 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=26
2017-12-17 12:38:58,833 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=55
2017-12-17 12:38:58,834 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=35
2017-12-17 12:38:58,835 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2017-12-17 12:38:58,835 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=28
2017-12-17 12:38:58,836 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=17
2017-12-17 12:38:58,836 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=2
2017-12-17 12:38:58,836 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=18
2017-12-17 12:38:58,837 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=31
2017-12-17 12:38:58,837 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=16
2017-12-17 12:38:58,837 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=3
2017-12-17 12:38:58,838 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=36
2017-12-17 12:38:58,838 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=15
2017-12-17 12:38:58,839 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2017-12-17 12:38:58,839 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=27
2017-12-17 12:38:58,840 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2017-12-17 12:38:58,840 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=3
2017-12-17 12:38:58,840 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=18
2017-12-17 12:38:58,841 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2017-12-17 12:38:58,841 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=3
2017-12-17 12:38:58,841 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=10
2017-12-17 12:38:58,842 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=16
